recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631638525443,-1.9550323,1.0471344,-7.413864,0.11279297,-0.5214844,0.85693353,-7.060103653346496,-31.248824355944446,-129.16496981905715,0.42754474,-0.16893736,0.2173477,-0.86106074
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631646130443,-2.2602081,1.1081696,-7.3490143,0.095703125,-0.5288086,0.8583984,-7.090674772630837,-31.259320211445385,-129.24205772840145,0.42701778,-0.16905725,0.21742758,-0.86127853
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631653735443,-2.6283264,0.8010864,-7.3490143,0.107910156,-0.5371094,0.8598632,-7.119762433778846,-31.274601665804354,-129.3196389120935,0.42648163,-0.16918154,0.21755053,-0.8614887
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631661340443,-2.3212433,1.0471344,-6.9828033,0.092285156,-0.5341797,0.86474603,-7.1491790610968895,-31.289611560187485,-129.3947105331655,0.42596507,-0.16931202,0.21766673,-0.86168927
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631671548443,-2.0771027,0.98609924,-6.860733,0.09033203,-0.53271484,0.87451166,-7.170648127471802,-31.302859196596543,-129.4649919678208,0.4254703,-0.16938563,0.21779212,-0.8618875
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631681756443,-1.6498566,0.98609924,-6.6165924,0.09033203,-0.53027344,0.868164,-7.188754740693536,-31.312005875898233,-129.53177789993964,0.4249975,-0.16942637,0.21789362,-0.8620871
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631691964443,-1.5296936,1.2321472,-6.254196,0.08935547,-0.53271484,0.8652344,-7.205064069430423,-31.31840714399563,-129.59435545219074,0.42455435,-0.16945209,0.21797466,-0.8622799
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631699689443,-1.1005402,0.86402893,-5.2776337,0.087402344,-0.5341797,0.85693353,-7.230232499138539,-31.336588975042552,-129.7062653025025,0.4237505,-0.16949095,0.21818614,-0.8626141
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631707414443,-1.0414124,1.2893677,-4.846573,0.10205078,-0.54345703,0.8623046,-7.243291925913683,-31.34326418547611,-129.75808901613692,0.42338175,-0.16951345,0.21826562,-0.8627706
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631715139443,-0.6752014,1.1062622,-4.480362,0.08935547,-0.5263672,0.8574218,-7.249509194038007,-31.345670805398807,-129.8013063330362,0.42306694,-0.16948618,0.21832502,-0.8629154
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631722864443,-0.30708313,0.86402893,-4.1179657,0.099609375,-0.5415039,0.8710937,-7.257748375932284,-31.344690016048677,-129.8414866826576,0.42278054,-0.16946831,0.21834652,-0.8630538
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631734642443,-0.3681183,0.86402893,-3.81279,0.087402344,-0.5449219,0.8706054,-7.262946279165008,-31.3460299022649,-129.87746128453696,0.4225188,-0.16944349,0.21839081,-0.86317563
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631746420443,0.30136108,1.2893677,-3.1414032,0.09667969,-0.53564453,0.868164,-7.264526510343079,-31.346206770236066,-129.90857315824942,0.42228734,-0.1693967,0.21843234,-0.86328757
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631758198443,0.059127808,1.1692047,-3.0155182,0.091308594,-0.5390625,0.87207025,-7.2635711757562476,-31.343372646952197,-129.93440793754596,0.42209235,-0.16933058,0.21845233,-0.86339086
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631765902443,0.24223328,1.2302399,-2.8362274,0.09863281,-0.5473633,0.86914057,-7.26301697858258,-31.345489531145873,-129.96035753396345,0.42189467,-0.16928415,0.21850893,-0.86348224
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631773606443,0.66947937,1.291275,-2.4051666,0.10107422,-0.53564453,0.883789,-7.259390036119536,-31.339320082376958,-129.98225813630083,0.42172587,-0.16919401,0.21850735,-0.86358273
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631781310443,0.9727478,1.2893677,-1.9817352,0.09277344,-0.5361328,0.887207,-7.250831338527882,-31.328058515051268,-129.9979275078925,0.42159724,-0.16906124,0.21847568,-0.8636796
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631789014443,1.461029,1.2893677,-1.6765594,0.095214844,-0.5332031,0.8793945,-7.240925444392661,-31.313376472175303,-130.01025787264206,0.42149293,-0.16891302,0.2184178,-0.8637741
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631799181443,1.6460419,1.1692047,-1.2454987,0.10253906,-0.54003906,0.8779296,-7.2291539469861545,-31.301166345674595,-130.0196872692795,0.42140567,-0.1687647,0.2183814,-0.8638549
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631809348443,1.8920898,0.92315674,-1.4286041,0.096191406,-0.53515625,0.85937494,-7.220900525433949,-31.28354664054247,-130.02772113709895,0.4213384,-0.16862711,0.21828854,-0.86393803
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631819515443,2.1343231,0.98609924,-0.69999695,0.09765625,-0.5395508,0.8598632,-7.213357486761402,-31.26736266012195,-130.0335795725045,0.42128816,-0.16850393,0.21820085,-0.8640087
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631829949443,2.0122528,0.8029938,-0.45204163,0.09277344,-0.52246094,0.8549804,-7.202663967755788,-31.25336017326841,-130.0346686624362,0.42126676,-0.1683735,0.21813443,-0.86406136
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631840384443,1.8291473,0.8029938,-0.3299713,0.099609375,-0.52490234,0.8627929,-7.188140867967187,-31.236596342020864,-130.0315972511434,0.42127088,-0.16821268,0.21805482,-0.86411077
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631850819443,1.8901825,0.497818,-0.39100647,0.106933594,-0.5185547,0.871582,-7.1815769407255035,-31.21949042260624,-130.03166103779694,0.42126667,-0.16810474,0.21794792,-0.8641608
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631859845443,1.707077,0.55885315,0.27656555,0.1015625,-0.515625,0.85937494,-7.159856279477328,-31.178218475499715,-130.01953372994595,0.42133802,-0.16782323,0.21769363,-0.8642448
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631868871443,1.8920898,0.61798096,0.82969666,0.09423828,-0.53271484,0.85693353,-7.143265886033069,-31.164083315701205,-130.00739823946668,0.4214053,-0.16767292,0.21762851,-0.8642576
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631877897443,1.8291473,0.497818,1.253128,0.095703125,-0.5083008,0.85546875,-7.1233027916327,-31.144029377787838,-129.98999871465142,0.42150894,-0.16748694,0.21752277,-0.86426973
