recording id,timestamp [ns]
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631094837443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631107256443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631140599443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631173941443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631207284443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631240626443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631273969443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631307311443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631340654443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631373996443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631407339443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631440681443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631474023443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631507366443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631540708443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631574051443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631607393443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631640736443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631674078443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631707421443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631740763443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631774105443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631807448443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631840790443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631874133443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631907475443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631940818443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059631974160443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632007503443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632040845443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632074187443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632107530443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632140872443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632174215443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632207557443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632240900443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632274242443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632307585443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632340927443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632374269443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632407612443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632440954443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632474297443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632507639443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632540982443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632574324443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632607667443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632641009443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632674351443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632707694443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632741036443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632774379443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632807721443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632841064443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632874406443
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632907749443
