recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
05b1e954-e0de-4e6a-bec5-f040535b11d2,40,1747059645121393443,1747059645136393443,15.0,22.380451,1.3047962,1317.1777,10209.794
05b1e954-e0de-4e6a-bec5-f040535b11d2,41,1747059645231520443,1747059645316646443,85.126,112.44339,6.5526986,1992.0675,10209.794
05b1e954-e0de-4e6a-bec5-f040535b11d2,42,1747059645411648443,1747059645591901443,180.253,266.27945,15.625242,2458.0364,10209.794
05b1e954-e0de-4e6a-bec5-f040535b11d2,43,1747059645711903443,1747059645727029443,15.126,6.2618937,0.37272602,1294.3185,10209.794
05b1e954-e0de-4e6a-bec5-f040535b11d2,44,1747059645877156443,1747059646282538443,405.382,471.76328,29.735157,2810.8147,10209.794
05b1e954-e0de-4e6a-bec5-f040535b11d2,45,1747059646442677443,1747059646492669443,49.992,206.35936,13.199066,3340.2927,10209.794
05b1e954-e0de-4e6a-bec5-f040535b11d2,46,1747059646587793443,1747059646607793443,20.0,23.307518,1.4895806,1003.9841,10209.794
05b1e954-e0de-4e6a-bec5-f040535b11d2,47,1747059646787921443,1747059646898051443,110.13,265.68723,17.006042,2939.7742,10209.794
05b1e954-e0de-4e6a-bec5-f040535b11d2,48,1747059647178303443,1747059647363438443,185.135,614.7988,39.33685,4641.529,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,49,1747059647503689443,1747059647523684443,19.995,21.19911,1.2573289,1070.502,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,50,1747059647598685443,1747059647618686443,20.001,16.871801,1.0988886,1124.3057,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,51,1747059647813939443,1747059647994067443,180.128,644.05286,41.415394,3938.4058,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,52,1747059648169195443,1747059648214324443,45.129,147.17508,9.500975,2711.775,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,53,1747059648529576443,1747059648564577443,35.001,72.18563,4.6650896,2077.221,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,54,1747059649385341443,1747059649425472443,40.131,106.11174,6.8547945,2699.489,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,55,1747059649600594443,1747059649640600443,40.006,147.72743,9.516847,3700.7117,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,56,1747059649950853443,1747059650015976443,65.123,163.48134,10.415394,3730.7354,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,57,1747059650281231443,1747059650326234443,45.003,162.68527,10.43244,3692.4302,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,58,1747059650471359443,1747059650521372443,50.013,213.83601,13.737058,4034.6433,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,59,1747059650826740443,1747059650861740443,35.0,74.38414,4.798317,1971.1433,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,60,1747059651737507443,1747059651767631443,30.124,36.05645,2.329027,1213.4084,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,61,1747059652122897443,1747059652162899443,40.002,101.3366,6.5493355,2558.8586,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,62,1747059652498268443,1747059652543281443,45.013,192.09496,12.388569,3940.5293,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,63,1747059652983651443,1747059653028777443,45.126,109.00938,7.025063,2470.35,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,64,1747059653269031443,1747059653314032443,45.001,139.24654,8.978252,3103.4172,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,65,1747059653619287443,1747059653654290443,35.003,97.747604,6.306589,2820.0251,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,66,1747059653839541443,1747059653874551443,35.01,101.277794,6.532255,2889.8152,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,67,1747059654029669443,1747059654084795443,55.126,146.46538,9.427882,2539.6936,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,68,1747059654249932443,1747059654360049443,110.117,456.15045,28.79543,4269.803,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,69,1747059654535177443,1747059654585178443,50.001,128.99663,8.272306,2601.6887,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,70,1747059654810441443,1747059654885433443,74.992,256.8689,16.46151,3163.0947,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,71,1747059655000560443,1747059655070686443,70.126,330.2279,21.1403,4318.224,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,72,1747059655285815443,1747059655516069443,230.254,670.1324,41.732162,4151.4053,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,73,1747059655836324443,1747059656071578443,235.254,123.63164,7.849756,2686.7336,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,74,1747059656231709443,1747059656261706443,29.997,39.10492,2.4680521,1259.3522,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,75,1747059656371833443,1747059657823232443,1451.399,23.756199,1.5515393,1906.0864,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,76,1747059658223614443,1747059658308615443,85.001,56.194477,3.6408303,1413.7552,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,77,1747059658583870443,1747059658633996443,50.126,6.924095,0.4392535,1051.8497,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,78,1747059658764123443,1747059658929251443,165.128,262.79773,16.915733,2759.9321,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,79,1747059659034378443,1747059659079378443,45.0,155.98515,9.896253,3544.5508,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,80,1747059659274507443,1747059659304635443,30.128,47.755283,3.0350301,1475.0677,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,81,1747059659890142443,1747059660110271443,220.129,406.3506,26.087532,2877.2368,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,82,1747059660205397443,1747059660255526443,50.129,57.52738,3.7383327,1314.4369,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,83,1747059660520653443,1747059660821032443,300.379,779.2336,49.08309,4030.9578,11784.975
05b1e954-e0de-4e6a-bec5-f040535b11d2,84,1747059661221414443,1747059661446543443,225.129,773.46356,48.719734,4616.062,11784.975
