gaze x [px],gaze y [px],worn,azimuth [deg],elevation [deg]
924.33264,1142.3193,255.0,8.350196,-33.79058
966.3767,1172.5552,255.0,11.673182,-35.653336
1011.57935,1195.0667,255.0,15.0724125,-36.913918
954.4353,1181.9302,255.0,10.836863,-36.29235
970.91516,1185.874,255.0,12.100048,-36.502357
987.20374,1183.1384,255.0,13.283467,-36.274475
989.0708,1171.6172,255.0,13.329288,-35.53055
976.0912,1156.9805,255.0,12.273269,-34.6268
964.18005,1157.7617,255.0,11.400473,-34.71002
945.8267,1168.2666,255.0,10.110968,-35.432175
957.91907,1165.0153,255.0,10.97637,-35.183792
963.55164,1153.1499,255.0,11.336351,-34.41001
991.33057,1159.5992,255.0,13.404915,-34.748676
965.1267,1161.2283,255.0,11.481239,-34.927086
941.59033,1165.5292,255.0,9.756272,-35.256863
943.39984,1158.8098,255.0,9.873851,-34.825474
936.744,1192.1472,255.0,9.574455,-36.99598
916.2284,1193.0269,255.0,8.031151,-37.097015
934.83386,1197.2954,255.0,9.458759,-37.333557
918.9613,1173.6326,255.0,8.179544,-35.832054
903.33813,1193.8567,255.0,7.071472,-37.171356
929.7589,1190.4241,255.0,9.03578,-36.899223
915.4957,1185.438,255.0,7.95272,-36.60198
906.5111,1177.9708,255.0,7.2424383,-36.140167
926.1915,1173.0782,255.0,8.685036,-35.787186
934.70593,1168.0703,255.0,9.290863,-35.444153
954.99976,1156.3147,255.0,10.710672,-34.641018
947.4326,1155.7334,255.0,10.151692,-34.620358
981.2154,1168.282,255.0,12.718784,-35.331688
957.06757,1161.5519,255.0,10.885252,-34.971066
971.6102,1178.4525,255.0,12.097596,-36.014885
968.4098,1166.017,255.0,11.748437,-35.22859
1006.91437,1177.1196,255.0,14.716721,-35.815247
960.6719,1183.1775,255.0,11.314249,-36.353535
950.0371,1181.5693,255.0,10.501747,-36.28057
964.3949,1173.8519,255.0,11.524967,-35.73726
939.10486,1167.6003,255.0,9.610363,-35.404694
984.03845,1161.8098,255.0,12.887323,-34.915215
973.3356,1192.1975,255.0,12.326393,-36.899162
960.4896,1177.8251,255.0,11.256096,-36.012066
959.9924,1166.3711,255.0,11.144744,-35.274963
959.182,1178.5248,255.0,11.181849,-36.05748
953.1499,1159.887,255.0,10.596533,-34.87423
956.99146,1156.7075,255.0,10.860222,-34.65873
953.926,1160.5078,255.0,10.663909,-34.912704
969.33496,1164.2058,255.0,11.822029,-35.11125
963.9364,1170.9492,255.0,11.470093,-35.560085
949.23157,1170.1792,255.0,10.388591,-35.537766
934.5541,1155.8298,255.0,9.211794,-34.65543
959.20807,1167.6642,255.0,11.096509,-35.36017
942.92456,1152.8314,255.0,9.812122,-34.444183
946.4746,1169.97,255.0,10.169212,-35.540607
937.6996,1176.2253,255.0,9.554106,-35.963333
936.4712,1175.4026,255.0,9.453289,-35.910927
914.2621,1173.8511,255.0,7.793758,-35.857826
927.7125,1182.0226,255.0,8.845264,-36.361763
926.8601,1176.8477,255.0,8.75413,-36.02726
918.12317,1163.0999,255.0,8.035045,-35.157906
928.3999,1152.0531,255.0,8.74338,-34.424545
940.37195,1171.7263,255.0,9.726603,-35.66791
898.60547,1181.008,255.0,6.669778,-36.34729
936.7628,1184.541,255.0,9.533045,-36.50125
930.57544,1162.3738,255.0,8.953161,-35.08597
945.09045,1178.6649,255.0,10.116995,-36.1046
935.6592,1193.4462,255.0,9.501121,-37.078255
930.4229,1159.6978,255.0,8.928562,-34.913788
912.58887,1167.8132,255.0,7.6517,-35.47144
925.52625,1182.3298,255.0,8.6835575,-36.385883
929.1157,1159.8555,255.0,8.832629,-34.92604
924.35535,1161.1953,255.0,8.48917,-35.02259
941.04944,1163.1837,255.0,9.729778,-35.115456
939.71124,1170.2969,255.0,9.669802,-35.57724
923.08923,1155.5264,255.0,8.376376,-34.659725
945.1837,1170.5778,255.0,10.076222,-35.581375
956.4377,1180.9294,255.0,10.975502,-36.222687
965.7573,1178.0181,255.0,11.650554,-36.01068
956.3179,1171.7013,255.0,10.907925,-35.627716
975.53406,1178.7671,255.0,12.381155,-36.030434
965.53394,1165.3574,255.0,11.554522,-35.19366
908.7208,1165.0957,255.0,7.3529444,-35.303555
948.3415,1184.1119,255.0,10.393574,-36.448853
959.0851,1188.416,255.0,11.222445,-36.698715
902.3159,1185.5142,255.0,6.961267,-36.635582
926.4557,1164.9346,255.0,8.662035,-35.25981
951.568,1185.152,255.0,10.642162,-36.503597
972.0128,1177.8491,255.0,12.113146,-35.981773
957.10754,1189.8667,255.0,11.084023,-36.79766
941.10474,1193.897,255.0,9.908275,-37.098328
911.4787,1164.6522,255.0,7.5515423,-35.26815
1022.2059,1125.2756,255.0,15.344696,-32.441402
1004.2127,1074.9624,255.0,13.819234,-29.300854
924.9583,930.94745,255.0,7.924129,-20.234394
822.86816,806.92175,255.0,0.8948196,-12.371012
875.5553,760.329,255.0,4.338191,-9.363833
809.6788,714.88306,255.0,0.05186498,-6.4408474
780.7912,698.33154,255.0,-1.8220963,-5.3732586
888.6001,769.098,255.0,5.198419,-9.920996
933.9552,846.5606,255.0,8.241545,-14.8661995
914.6798,993.88904,255.0,7.182165,-24.300064
872.5675,1100.9043,255.0,4.532971,-31.215189
978.5976,1106.6382,255.0,12.142597,-31.393211
917.3802,1167.1387,255.0,8.011654,-35.413136
980.3327,1140.2572,255.0,12.434708,-33.48264
1021.73376,1150.1794,255.0,15.55891,-34.04931
977.133,1182.2932,255.0,12.524774,-36.25152
974.68616,1180.1907,255.0,12.313967,-36.1216
955.0763,1165.1943,255.0,10.777447,-35.2055
994.5652,1172.2825,255.0,13.748747,-35.554855
913.6249,1157.5359,255.0,7.679335,-34.80403
926.07916,1172.2086,255.0,8.6728,-35.730507
949.91284,1195.1909,255.0,10.58097,-37.159447
984.29224,1184.449,255.0,13.067466,-36.37082
972.6066,1154.3928,255.0,12.026911,-34.460632
1064.916,1077.4257,255.0,18.031326,-29.277878
861.28564,935.98474,255.0,3.5662603,-20.617464
782.0539,764.6669,255.0,-1.7620144,-9.648338
791.5598,685.0857,255.0,-1.1230776,-4.51791
795.64154,689.70166,255.0,-0.8595519,-4.8160515
776.92,695.6892,255.0,-2.072795,-5.201957
803.4387,691.2505,255.0,-0.35330856,-4.9154577
818.89624,752.71326,255.0,0.6494212,-8.883623
904.6327,803.63153,255.0,6.2922707,-12.119942
862.0087,983.0033,255.0,3.6145496,-23.663885
896.2617,1042.9856,255.0,6.053914,-27.457226
901.23566,1066.5737,255.0,6.4842634,-28.977606
864.0464,1092.6465,255.0,3.9210815,-30.676943
967.2644,1122.2903,255.0,11.424341,-32.4237
867.88245,1125.9893,255.0,4.2336893,-32.834274
899.81757,1141.0193,255.0,6.6087065,-33.761383
884.5666,1157.6531,255.0,5.548439,-34.85823
892.8563,1142.2319,255.0,6.103614,-33.85122
954.589,1123.6428,255.0,10.494131,-32.527878
979.84753,1106.7446,255.0,12.225355,-31.396149
939.5548,1112.2844,255.0,9.369308,-31.845114
927.8732,1104.565,255.0,8.50687,-31.369886
991.2189,1123.3027,255.0,13.15967,-32.42586
939.8026,1148.0095,255.0,9.557279,-34.13614
937.39685,1144.4213,255.0,9.362068,-33.916077
910.74243,1120.1848,255.0,7.329373,-32.404114
947.53516,1087.841,255.0,9.828013,-30.262087
958.1052,1090.0186,255.0,10.587257,-30.376482
986.1467,1096.8652,255.0,12.618552,-30.75008
983.00635,1097.6553,255.0,12.399371,-30.808666
990.48816,1113.3159,255.0,13.037737,-31.787457
1014.1602,1107.9473,255.0,14.692856,-31.374748
982.4398,1088.5742,255.0,12.312963,-30.230337
955.0945,1097.3827,255.0,10.405106,-30.85854
960.4341,1095.1267,255.0,10.779268,-30.701214
967.11206,1082.8251,255.0,11.186015,-29.899582
964.7068,1085.8347,255.0,11.033575,-30.097412
982.01953,1073.8833,255.0,12.199509,-29.293514
955.8905,1095.1794,255.0,10.457381,-30.714565
986.21545,1118.1311,255.0,12.762747,-32.099304
1004.7572,1128.4214,255.0,14.156086,-32.71373
974.1201,1118.118,255.0,11.881024,-32.138645
964.1925,1139.6641,255.0,11.287464,-33.545807
967.058,1143.6743,255.0,11.520865,-33.797157
970.3563,1150.8508,255.0,11.808706,-34.247776
988.94147,1132.6674,255.0,13.042591,-33.031868
955.0709,1139.8474,255.0,10.628648,-33.580788
945.7976,1151.6924,255.0,10.01289,-34.362995
972.20044,1146.4071,255.0,11.916733,-33.959064
968.8854,1134.088,255.0,11.598409,-33.177174
961.76,1156.881,255.0,11.216734,-34.659477
955.8627,1167.3481,255.0,10.847118,-35.348476
977.2156,1139.9607,255.0,12.2400875,-33.53234
952.64514,1164.4445,255.0,10.589234,-35.164127
947.8369,1150.1105,255.0,10.1580925,-34.257812
929.51794,1149.5585,255.0,8.814983,-34.26088
982.3428,1165.5859,255.0,12.790898,-35.162746
967.17126,1156.8188,255.0,11.616983,-34.640244
921.0362,1146.8085,255.0,8.180794,-34.10115
956.56696,1145.5012,255.0,10.769342,-33.940727
929.9792,1146.3071,255.0,8.831219,-34.052044
973.41425,1149.8806,255.0,12.011908,-34.170204
1013.978,1085.7413,255.0,14.523373,-29.96398
958.1212,1045.1361,255.0,10.392898,-27.512058
969.9066,1039.5791,255.0,11.18959,-27.13264
989.86096,1033.2075,255.0,12.548187,-26.679962
941.8447,1040.749,255.0,9.246456,-27.261951
971.62317,1001.8956,255.0,11.15614,-24.727898
983.87256,996.68555,255.0,11.973806,-24.371344
1017.9109,977.718,255.0,14.2111435,-23.091522
1011.43634,1001.1522,255.0,13.876187,-24.591463
992.0482,1032.7324,255.0,12.693285,-26.647224
956.32623,985.90717,255.0,10.057985,-23.736702
1008.8833,972.7013,255.0,13.577534,-22.793297
998.251,974.5776,255.0,12.860846,-22.934093
973.7816,930.3493,255.0,11.063776,-20.166824
966.18054,936.9834,255.0,10.573242,-20.601837
960.0647,930.4253,255.0,10.145102,-20.193237
929.8146,923.7588,255.0,8.102623,-19.808712
926.7114,910.7871,255.0,7.8695183,-18.982883
942.0997,918.1454,255.0,8.912816,-19.43469
945.82635,919.57623,255.0,9.16489,-19.521206
944.6681,925.8019,255.0,9.102415,-19.91988
954.3265,928.1717,255.0,9.754691,-20.05798
983.82654,970.8703,255.0,11.871742,-22.72585
1021.373,1044.4669,255.0,14.803563,-27.31593
984.58954,1047.0295,255.0,12.247103,-27.573849
975.40515,1097.9648,255.0,11.870199,-30.845573
970.36975,1135.7133,255.0,11.71572,-33.277313
968.6184,1125.7312,255.0,11.527562,-32.64235
974.3477,1135.5769,255.0,12.004705,-33.258575
988.7655,1134.3541,255.0,13.044619,-33.13839
998.4784,1119.172,255.0,13.641024,-32.14128
973.6814,1133.8206,255.0,11.944156,-33.14743
964.3364,1131.2854,255.0,11.25308,-33.008636
970.9919,1115.503,255.0,11.637754,-31.98056
976.7137,1125.5254,255.0,12.112315,-32.609337
975.02075,1123.7174,255.0,11.991865,-32.496063
948.7958,1126.3036,255.0,10.115534,-32.72502
973.6565,1108.8053,255.0,11.800148,-31.543728
963.07556,1096.5046,255.0,10.975547,-30.783272
977.3568,1089.9779,255.0,11.949039,-30.334211
985.6909,1095.3796,255.0,12.577854,-30.656353
977.9999,1097.2961,255.0,12.041456,-30.79823
975.83545,1110.9233,255.0,11.962622,-31.675915
971.18335,1108.7588,255.0,11.619827,-31.54868
951.8966,1128.5188,255.0,10.335821,-32.860695
956.8802,1093.9595,255.0,10.523094,-30.634773
986.46545,1097.1416,255.0,12.643735,-30.766022
971.9303,1089.7107,255.0,11.57019,-30.32816
981.39,1095.781,255.0,12.300285,-30.68943
959.9608,1105.6106,255.0,10.811837,-31.372778
977.1448,1076.2332,255.0,11.8683815,-29.454838
977.6598,1119.7716,255.0,12.153679,-32.234238
999.87665,1143.7329,255.0,13.914706,-33.70839
1015.4158,1099.3906,255.0,14.712363,-30.829536
1033.869,1100.2455,255.0,16.028301,-30.826324
1025.7295,1109.1138,255.0,15.523701,-31.416248
1036.8236,1123.8821,255.0,16.43193,-32.320244
1031.8938,1121.8344,255.0,16.06405,-32.20657
1028.9503,1121.2037,255.0,15.845076,-32.176434
1019.2327,1114.7935,255.0,15.100946,-31.798683
1008.4668,1105.5049,255.0,14.26795,-31.23388
1024.3533,1102.2031,255.0,15.372703,-30.981293
1021.2555,1109.5747,255.0,15.206774,-31.460697
1020.1689,1136.9286,255.0,15.340116,-33.207817
1000.4951,1115.1285,255.0,13.758221,-31.877174
1029.0632,1109.0016,255.0,15.741283,-31.393255
1015.2874,1101.5288,255.0,14.729128,-30.959377
1027.1027,1118.9507,255.0,15.693905,-32.0375
1024.6516,1123.974,255.0,15.536145,-32.361534
1036.8889,1111.9886,255.0,16.341352,-31.560537
1019.6538,1114.2987,255.0,15.126024,-31.766115
1051.4324,1100.9604,255.0,17.29213,-30.81223
1054.8699,1104.4844,255.0,17.560165,-31.022564
1024.1952,1118.3026,255.0,15.479738,-32.006477
1035.9832,1107.7975,255.0,16.250816,-31.296038
996.56995,1116.6606,255.0,13.488134,-31.984818
1022.9857,1102.0184,255.0,15.262672,-30.967865
1043.6589,1098.1003,255.0,16.716665,-30.656887
1029.3823,1102.8032,255.0,15.736414,-31.002855
1040.0745,1103.1086,255.0,16.500275,-30.987247
1035.2683,1092.3594,255.0,16.076239,-30.319149
1021.3407,1096.5835,255.0,15.119364,-30.632225
1039.6946,1073.1125,255.0,16.2524,-29.083244
1029.2041,1128.4792,255.0,15.922573,-32.63878
1064.6865,1079.648,255.0,18.054207,-29.412624
1050.3389,1072.9734,255.0,17.001001,-29.034393
1042.2622,1114.0662,255.0,16.744198,-31.676445
1018.6282,1097.6771,255.0,14.936687,-30.708881
1008.08044,1107.2571,255.0,14.2470455,-31.353039
995.5228,1105.5918,255.0,13.337442,-31.281929
1022.21094,1094.3242,255.0,15.17503,-30.48679
1024.5334,1114.4481,255.0,15.476928,-31.760063
1023.73755,1120.5203,255.0,15.464298,-32.149376
1019.3555,1149.6049,255.0,15.380793,-34.02103
1025.9109,1132.4164,255.0,15.714485,-32.898766
1018.23315,1137.3389,255.0,15.199879,-33.24074
994.7099,1150.2693,255.0,13.585901,-34.14277
974.83215,1138.1729,255.0,12.055345,-33.423706
992.19464,1111.1116,255.0,13.138773,-31.645638
983.2035,1078.7756,255.0,12.300938,-29.60159
980.9704,1074.6636,255.0,12.129903,-29.345585
976.0417,1082.3215,255.0,11.821697,-29.846436
956.813,1094.3442,255.0,10.520805,-30.659088
966.0934,1104.5842,255.0,11.232293,-31.293186
993.1459,1105.8981,255.0,13.173358,-31.30793
1004.57385,1121.1992,255.0,14.091595,-32.25088
980.8213,1127.4006,255.0,12.421316,-32.717182
969.9889,1129.8704,255.0,11.656923,-32.901398
950.6032,1114.4648,255.0,10.179922,-31.958897
950.74805,1111.1178,255.0,10.167737,-31.745953
935.4652,1119.5078,255.0,9.106205,-32.317
958.902,1101.4309,255.0,10.701875,-31.107708
935.6332,1108.1161,255.0,9.070327,-31.585314
933.3314,1090.7598,255.0,8.834635,-30.4769
942.8839,1102.2482,255.0,9.561735,-31.194202
918.00977,1102.4419,255.0,7.7861423,-31.253595
923.16455,1100.7332,255.0,8.144744,-31.134203
932.84656,1101.685,255.0,8.843458,-31.178078
938.3541,1113.6272,255.0,9.293028,-31.93326
949.3963,1111.4143,255.0,10.070578,-31.769083
962.7155,1116.4487,255.0,11.0532,-32.061085
959.647,1108.9487,255.0,10.795503,-31.587326
949.2194,1078.4216,255.0,9.907749,-29.656116
952.28284,1089.5189,255.0,10.175294,-30.35962
950.44196,1096.2537,255.0,10.073681,-30.794746
943.3157,1098.7505,255.0,9.57783,-30.96965
955.3766,1131.8608,255.0,10.602573,-33.06596
966.73694,1122.9502,255.0,11.378692,-32.46827
950.9138,1136.7866,255.0,10.345711,-33.380756
