timestamp [ns],gaze x [px],gaze y [px],worn,azimuth [deg],elevation [deg]
2025-05-07 08:36:29.870,823.1407,1167.5542,255.0,1.0253206,-35.551773
2025-05-07 08:36:29.880,814.31396,1157.4803,255.0,0.37038064,-34.901344
2025-05-07 08:36:29.890,803.2647,1165.2643,255.0,-0.44606256,-35.407265
2025-05-07 08:36:29.900,856.3059,1175.3137,255.0,3.476054,-36.031918
2025-05-07 08:36:29.910,873.99066,1176.54,255.0,4.815491,-36.09391
2025-05-07 08:36:29.920,846.074,1188.696,255.0,2.750681,-36.906693
2025-05-07 08:36:29.930,925.1221,1183.6267,255.0,8.656103,-36.470413
2025-05-07 08:36:29.940,980.66095,1163.9763,255.0,12.646442,-35.063393
2025-05-07 08:36:29.950,983.82324,1167.2012,255.0,12.910724,-35.262215
2025-05-07 08:36:29.960,950.3247,1137.832,255.0,10.286274,-33.459568
2025-05-07 08:36:29.970,901.8397,1132.8944,255.0,6.7380633,-33.233696
2025-05-07 08:36:29.980,932.1637,1103.5321,255.0,8.805914,-31.29768
2025-05-07 08:36:29.990,850.4099,1038.8975,255.0,2.8875716,-27.237413
2025-05-07 08:36:30.000,668.0281,976.3161,255.0,-9.594113,-23.144115
2025-05-07 08:36:30.010,739.26965,845.3648,255.0,-4.5977073,-14.826807
2025-05-07 08:36:30.020,788.40063,822.381,255.0,-1.3520701,-13.371576
2025-05-07 08:36:30.030,792.19995,867.67426,255.0,-1.114253,-16.283293
2025-05-07 08:36:30.040,819.4153,832.23987,255.0,0.68221635,-14.004564
2025-05-07 08:36:30.050,757.4788,869.3195,255.0,-3.418827,-16.379063
2025-05-07 08:36:30.060,774.3235,1006.7467,255.0,-2.357979,-25.192223
2025-05-07 08:36:30.070,893.5845,1077.6581,255.0,5.9941807,-29.6958
2025-05-07 08:36:30.080,987.8788,1077.249,255.0,12.634544,-29.491718
2025-05-07 08:36:30.090,979.2594,1097.8481,255.0,12.176693,-30.753952
2025-05-07 08:36:30.100,970.2143,1164.8813,255.0,11.8906,-35.15189
2025-05-07 08:36:30.110,969.50555,1193.9325,255.0,12.0418415,-37.025578
